none_T100,green_T100,red_T100,blue_T100,green_LD,red_LD,blue_LD
19,21,28,32,0,6,1
19,21,28,32,1,7,0
19,20,28,33,2,8,0
19,20,28,33,0,9,1
20,20,28,32,1,10,2
20,20,28,32,2,11,0
19,20,28,33,3,12,0
20,19,28,33,4,13,1
19,19,29,33,5,0,2
19,20,28,33,0,1,3
19,21,28,32,0,2,4
20,21,28,31,1,3,5
21,21,28,30,2,4,6
21,21,28,30,3,5,7
21,21,28,30,4,0,8
21,22,27,30,0,1,9
21,22,28,29,1,0,10
21,21,28,30,2,1,0
20,21,29,30,3,0,1
20,21,28,31,4,1,0
19,21,29,31,5,0,1
19,22,29,30,0,1,2
19,23,28,30,0,2,3
20,22,28,30,1,3,4
21,22,28,29,2,4,5
20,22,28,30,3,5,0
20,23,28,29,0,6,1
21,23,27,29,1,7,2
20,23,27,30,2,8,0
20,24,27,29,0,9,1
20,24,27,29,1,10,0
19,24,28,29,2,0,1
20,24,27,29,3,1,2
20,25,26,29,0,2,3
21,24,26,29,1,3,4
21,24,26,29,0,4,5
21,24,26,29,1,5,0
20,25,26,29,0,6,1
20,25,25,30,1,7,0
20,25,26,29,2,0,1
20,26,26,28,0,1,2
21,25,26,28,1,2,3
21,25,26,28,2,3,4
20,25,27,28,3,0,5
20,25,26,29,4,1,0
20,25,25,30,5,2,0
20,25,25,30,6,0,1
20,26,24,30,0,1,2
20,26,23,31,1,2,0
20,25,24,31,2,0,1
