combination,balance
03011,"(7376, 350, -8620000, (0, 3, 0, 1, 1))"
11030,"(7374, 332, -6290000, (1, 1, 0, 3, 0))"
01103,"(7370, 330, -6050000, (0, 1, 1, 0, 3))"
30011,"(7340, 332, -6460000, (3, 0, 0, 1, 1))"
22002,"(7333, 318, -4675000, (2, 2, 0, 0, 2))"
11003,"(7332, 336, -7020000, (1, 1, 0, 0, 3))"
13101,"(7317, 319, -4885000, (1, 3, 1, 0, 1))"
20022,"(7316, 319, -4890000, (2, 0, 0, 2, 2))"
13011,"(7277, 325, -5865000, (1, 3, 0, 1, 1))"
10131,"(7275, 336, -7305000, (1, 0, 1, 3, 1))"
02022,"(7269, 311, -4085000, (0, 2, 0, 2, 2))"
22020,"(7265, 298, -2415000, (2, 2, 0, 2, 0))"
20220,"(7263, 322, -5545000, (2, 0, 2, 2, 0))"
20202,"(7261, 322, -5555000, (2, 0, 2, 0, 2))"
10311,"(7260, 331, -6730000, (1, 0, 3, 1, 1))"
11031,"(7257, 333, -7005000, (1, 1, 0, 3, 1))"
02202,"(7246, 322, -5630000, (0, 2, 2, 0, 2))"
11301,"(7242, 338, -7730000, (1, 1, 3, 0, 1))"
11310,"(7242, 318, -5130000, (1, 1, 3, 1, 0))"
13110,"(7223, 333, -7175000, (1, 3, 1, 1, 0))"
31110,"(7216, 305, -3570000, (3, 1, 1, 1, 0))"
01311,"(7214, 340, -8130000, (0, 1, 3, 1, 1))"
01131,"(7212, 349, -9310000, (0, 1, 1, 3, 1))"
10113,"(7189, 339, -8125000, (1, 0, 1, 1, 3))"
31101,"(7188, 314, -4880000, (3, 1, 1, 0, 1))"
03111,"(7186, 337, -7880000, (0, 3, 1, 1, 1))"
01113,"(7174, 326, -6510000, (0, 1, 1, 1, 3))"
31011,"(7172, 315, -5090000, (3, 1, 0, 1, 1))"
11130,"(7165, 335, -7725000, (1, 1, 1, 3, 0))"
20122,"(7156, 315, -5170000, (2, 0, 1, 2, 2))"
11013,"(7155, 332, -7385000, (1, 1, 0, 1, 3))"
22102,"(7152, 310, -4540000, (2, 2, 1, 0, 2))"
21022,"(7147, 308, -4305000, (2, 1, 0, 2, 2))"
30111,"(7142, 303, -3680000, (3, 0, 1, 1, 1))"
22012,"(7142, 303, -3680000, (2, 2, 0, 1, 2))"
11103,"(7111, 339, -8515000, (1, 1, 1, 0, 3))"
22021,"(7103, 293, -2575000, (2, 2, 0, 2, 1))"
21202,"(7098, 300, -3510000, (2, 1, 2, 0, 2))"
20212,"(7088, 319, -6030000, (2, 0, 2, 1, 2))"
20221,"(7082, 317, -5800000, (2, 0, 2, 2, 1))"
12022,"(7078, 309, -4780000, (1, 2, 0, 2, 2))"
12202,"(7075, 309, -4795000, (1, 2, 2, 0, 2))"
21220,"(7032, 300, -3840000, (2, 1, 2, 2, 0))"
22120,"(7028, 293, -2950000, (2, 2, 1, 2, 0))"
13111,"(7026, 323, -6860000, (1, 3, 1, 1, 1))"
22200,"(7025, 289, -2445000, (2, 2, 2, 0, 0))"
02212,"(7023, 304, -4405000, (0, 2, 2, 1, 2))"
02122,"(7012, 320, -6540000, (0, 2, 1, 2, 2))"
02220,"(7006, 313, -5660000, (0, 2, 2, 2, 0))"
11311,"(7005, 331, -8005000, (1, 1, 3, 1, 1))"
11131,"(6984, 346, -10060000, (1, 1, 1, 3, 1))"
00222,"(6970, 342, -9610000, (0, 0, 2, 2, 2))"
00032,"(6955, 283, -2015000, (0, 0, 0, 3, 2))"
00320,"(6945, 297, -3885000, (0, 0, 3, 2, 0))"
32000,"(6937, 309, -5485000, (3, 2, 0, 0, 0))"
03200,"(6926, 324, -7490000, (0, 3, 2, 0, 0))"
31111,"(6916, 285, -2470000, (3, 1, 1, 1, 1))"
00230,"(6899, 304, -5025000, (0, 0, 2, 3, 0))"
00023,"(6885, 321, -7305000, (0, 0, 0, 2, 3))"
22201,"(6883, 283, -2375000, (2, 2, 2, 0, 1))"
